iter	RMSE
0	4.686466811
1	3.995266438
2	3.487572866
3	3.102591196
4	2.814439076
5	2.612222045
6	2.464359957
7	2.363292689
8	2.290112246
9	2.237434013
10	2.198200198
11	2.173085197
12	2.149830368
13	2.13278581
14	2.122469283
15	2.110916799
16	2.103578609
17	2.089134549
18	2.082049509
19	2.076731112
20	2.07119524
21	2.065370581
22	2.05725789
23	2.054520217
24	2.05083411
25	2.046823122
26	2.044980183
27	2.043159642
28	2.040444362
29	2.03848759
30	2.035689349
31	2.033383324
32	2.028199848
33	2.027196384
34	2.024532604
35	2.022888361
36	2.020352612
37	2.016584937
38	2.012055984
39	2.009337616
40	2.008768272
41	2.007233757
42	2.005953587
43	2.002819877
44	2.000843548
45	1.996481089
46	1.994042749
47	1.992118812
48	1.990208819
49	1.988100801
50	1.986923462
51	1.985305391
52	1.984320355
53	1.982690873
54	1.98187683
55	1.979892676
56	1.977669235
57	1.976374257
58	1.975270157
59	1.972765146
60	1.970409593
61	1.969679373
62	1.967774435
63	1.965431725
64	1.964530382
65	1.96367945
66	1.962941635
67	1.961080614
68	1.959083483
69	1.957164521
70	1.955946635
71	1.954434407
72	1.953612101
73	1.952129771
74	1.950461584
75	1.949074867
76	1.947937248
77	1.946256956
78	1.944486008
79	1.942454831
80	1.94093763
81	1.938977444
82	1.937768787
83	1.936146204
84	1.935137315
85	1.933697609
86	1.932107917
87	1.930707581
88	1.929905813
89	1.928987641
90	1.92802002
91	1.927210289
92	1.926550501
93	1.925761354
94	1.924453848
95	1.923751759
96	1.922470378
97	1.921336939
98	1.920412009
99	1.919547374
100	1.918426188
101	1.917108801
102	1.916356457
103	1.914804406
104	1.913913504
105	1.913134692
106	1.912326527
107	1.911247474
108	1.910415799
109	1.909285609
110	1.908411884
111	1.90797635
112	1.90725384
113	1.90589282
114	1.904780702
115	1.903532958
116	1.902944177
117	1.901318795
118	1.900350937
119	1.89960898
120	1.898284419
121	1.897376444
122	1.896557647
123	1.895836702
124	1.894998183
125	1.89377019
126	1.892752756
127	1.891443426
128	1.890744382
129	1.890227587
130	1.889219662
131	1.888503187
132	1.887304348
133	1.886385089
134	1.885155843
135	1.884574302
136	1.883639618
137	1.882578129
138	1.881754347
139	1.880749432
140	1.879826812
141	1.879219992
142	1.878262063
143	1.876920254
144	1.875704521
145	1.874602896
146	1.873794632
147	1.873061805
148	1.872299711
149	1.871425174
150	1.870441804
151	1.8694746
152	1.868458072
153	1.867647179
154	1.867162674
155	1.866781294
156	1.865740234
157	1.865423474
158	1.864466282
159	1.864176749
160	1.86337495
161	1.862653868
162	1.862236298
163	1.861677368
164	1.860884513
165	1.85977821
166	1.859121212
167	1.858478694
168	1.857518539
169	1.857368884
170	1.856707643
171	1.855604395
172	1.854648187
173	1.853657077
174	1.852735876
175	1.851988116
176	1.851498057
177	1.850417204
178	1.849512203
179	1.849333277
180	1.848474239
181	1.848266852
182	1.847960779
183	1.847307573
184	1.846722806
185	1.84601335
186	1.84516885
187	1.844336386
188	1.843787433
189	1.842874241
190	1.842136857
191	1.841839248
192	1.841606578
193	1.84078396
194	1.83981764
195	1.839186261
196	1.838559687
197	1.83754008
198	1.836578174
199	1.836020224
200	1.835389553
201	1.835357573
202	1.835020632
203	1.834034787
204	1.833204838
205	1.832109957
206	1.831187282
207	1.830563896
208	1.830118618
209	1.829273716
210	1.828211203
211	1.827735852
212	1.82730052
213	1.826330126
214	1.825525734
215	1.824781507
216	1.824280961
217	1.823776498
218	1.823041746
219	1.822115289
220	1.82186068
221	1.820983078
222	1.820433497
223	1.82009548
224	1.819327441
225	1.818476441
226	1.817494561
227	1.816753484
228	1.816290347
229	1.815853175
230	1.815288154
231	1.814177294
232	1.813330561
233	1.812460873
234	1.812127512
235	1.811794865
236	1.811207007
237	1.810804998
238	1.81049921
239	1.809985268
240	1.809385355
241	1.809197969
242	1.808578178
243	1.807781106
244	1.807116438
245	1.806267042
246	1.805725221
247	1.805091357
248	1.804282333
249	1.803562767
250	1.802641454
251	1.802113703
252	1.801123983
253	1.800337136
254	1.799408089
255	1.798624668
256	1.798322585
257	1.798045402
258	1.797342688
259	1.79693514
260	1.796771194
261	1.795914129
262	1.79504143
263	1.794039147
264	1.793354527
265	1.792905833
266	1.792240444
267	1.791375059
268	1.790729207
269	1.790051367
270	1.789437642
271	1.788608002
272	1.788228852
273	1.7877217
274	1.787246728
275	1.786833154
276	1.786172045
277	1.785633617
278	1.784633528
279	1.783863155
280	1.783293017
281	1.782549706
282	1.781818528
283	1.780785216
284	1.779873735
285	1.77971313
286	1.779031413
287	1.778409358
288	1.777483217
289	1.776548497
290	1.776041974
291	1.775084265
292	1.774617119
293	1.774421892
294	1.773232594
295	1.77288128
296	1.772032263
297	1.771333003
298	1.770741115
299	1.769787001
300	1.769198835
301	1.76855007
302	1.76788057
303	1.767059097
304	1.766437411
305	1.765678467
306	1.765311715
307	1.76465397
308	1.763717659
309	1.763625642
310	1.763229318
311	1.762906309
312	1.762168149
313	1.761937726
314	1.761779992
315	1.761296791
316	1.760779879
317	1.760188061
318	1.759674697
319	1.758773177
320	1.758426447
321	1.758307539
322	1.757931431
323	1.757373296
324	1.756281604
325	1.755878995
326	1.755082249
327	1.754550494
328	1.753957565
329	1.753180397
330	1.752614745
331	1.752054147
332	1.751178692
333	1.750805452
334	1.750296888
335	1.749927509
336	1.748948076
337	1.74862981
338	1.74823309
339	1.747663612
340	1.746990408
341	1.746352989
342	1.745469173
343	1.744872931
344	1.743953038
345	1.743291807
346	1.743072116
347	1.742721648
348	1.742561875
349	1.741789838
350	1.740997207
351	1.740214712
352	1.739662835
353	1.739267673
354	1.738569248
355	1.737716691
356	1.737034121
357	1.736618508
358	1.735921193
359	1.735066251
360	1.734342281
361	1.733683942
362	1.732949665
363	1.732507935
364	1.7317602
365	1.73112994
366	1.730699908
367	1.729943558
368	1.729427704
369	1.728632885
370	1.727970165
371	1.727734
372	1.727527621
373	1.727105418
374	1.726831518
375	1.72632118
376	1.725852091
377	1.725416584
378	1.724591156
379	1.723932156
380	1.723343354
381	1.722725632
382	1.721865928
383	1.721299616
384	1.721069861
385	1.720723424
386	1.720439783
387	1.719594413
388	1.718938486
389	1.718206237
390	1.71771814
391	1.717011037
392	1.716517566
393	1.716099062
394	1.715689385
395	1.715064817
396	1.714784023
397	1.714039704
398	1.713185378
399	1.712607196
400	1.711818551
401	1.711399898
402	1.710693799
403	1.709948426
404	1.709068363
405	1.708741444
406	1.707904646
407	1.707378368
408	1.706878802
409	1.706783845
410	1.706347951
411	1.70586517
412	1.705371293
413	1.705082161
414	1.704698387
415	1.704595378
416	1.703919009
417	1.703632037
418	1.702941885
419	1.702583667
420	1.701964755
421	1.701247089
422	1.70074295
423	1.70003285
424	1.699567794
425	1.698715939
426	1.698005486
427	1.697426063
428	1.697155274
429	1.696628057
430	1.696339361
431	1.695692132
432	1.695558388
433	1.694861242
434	1.69452074
435	1.693989143
436	1.693715208
437	1.692978024
438	1.692293515
439	1.692093558
440	1.691532906
441	1.691289704
442	1.690843411
443	1.690125203
444	1.689439692
445	1.688932711
446	1.688266497
447	1.68775543
448	1.687252412
449	1.686521639
450	1.686027155
451	1.68537648
452	1.684885831
453	1.684259242
454	1.683616478
455	1.683462774
456	1.683307165
457	1.682773383
458	1.682254267
459	1.681774692
460	1.681421691
461	1.680859516
462	1.680472354
463	1.680082519
464	1.679532275
465	1.679109983
466	1.678374387
467	1.678115874
468	1.677264448
469	1.676772857
470	1.676611708
471	1.676170127
472	1.675492757
473	1.675005072
474	1.674564855
475	1.674016152
476	1.67342625
477	1.673166451
478	1.672415914
479	1.671781335
480	1.671331874
481	1.670667646
482	1.67012029
483	1.669806205
484	1.669289559
485	1.668725398
486	1.668239289
487	1.667541181
488	1.667181382
489	1.666810977
490	1.666298573
491	1.665530855
492	1.665270391
493	1.664546033
494	1.664087182
495	1.663357666
496	1.66278776
497	1.662012206
498	1.661081353
499	1.660595606
500	1.65975621
501	1.659048165
502	1.65860325
503	1.658111216
504	1.657507237
505	1.656701648
506	1.656306714
507	1.65560014
508	1.655338494
509	1.654457882
510	1.653964631
511	1.653508823
512	1.653016652
513	1.652490691
514	1.652109102
515	1.651757393
516	1.651285746
517	1.650553451
518	1.650241663
519	1.649959797
520	1.649424568
521	1.648700352
522	1.648037542
523	1.647566167
524	1.647132486
525	1.646774859
526	1.646358441
527	1.645703714
528	1.645018533
529	1.644438265
530	1.643968735
531	1.643534573
532	1.642889536
533	1.642530869
534	1.641735855
535	1.640991332
536	1.640579504
537	1.640094767
538	1.639722369
539	1.63917981
540	1.638481478
541	1.637878334
542	1.637455244
543	1.636800449
544	1.636276877
545	1.635826076
546	1.635204152
547	1.634517083
548	1.634292311
549	1.633773598
550	1.633098554
551	1.632536655
552	1.632196325
553	1.631834587
554	1.631596406
555	1.630834214
556	1.630507312
557	1.630019745
558	1.629498694
559	1.6288069
560	1.628506856
561	1.628233502
562	1.627861347
563	1.627524033
564	1.626925311
565	1.626251128
566	1.625793121
567	1.625539007
568	1.625215479
569	1.624921906
570	1.62434061
571	1.624015365
572	1.6237495
573	1.623311843
574	1.622944736
575	1.622587906
576	1.622165311
577	1.62154566
578	1.621175724
579	1.620772762
580	1.620422111
581	1.619886703
582	1.619313764
583	1.618941575
584	1.618618939
585	1.617998604
586	1.617273696
587	1.616927835
588	1.61677509
589	1.615988943
590	1.615579829
591	1.614885348
592	1.614515329
593	1.614125212
594	1.613719375
595	1.613552599
596	1.613206305
597	1.612481504
598	1.6118815
599	1.611253743
600	1.61051236
601	1.609943803
602	1.609114255
603	1.608657217
604	1.608068507
605	1.607718021
606	1.607459873
607	1.606729832
608	1.606262762
609	1.605836444
610	1.605172618
611	1.604818047
612	1.604514322
613	1.603936192
614	1.603455456
615	1.602844888
616	1.602422832
617	1.601981689
618	1.601368895
619	1.600620346
620	1.60015195
621	1.599526379
622	1.598799601
623	1.598094015
624	1.597589604
625	1.59716781
626	1.596871045
627	1.596702081
628	1.596183965
629	1.595800581
630	1.595350553
631	1.594788301
632	1.59446652
633	1.594110507
634	1.593577597
635	1.593071297
636	1.59256142
637	1.591936528
638	1.591484095
639	1.591003691
640	1.590512941
641	1.589972431
642	1.58944731
643	1.589143009
644	1.588550784
645	1.588385137
646	1.58794136
647	1.587489198
648	1.587264457
649	1.586845852
650	1.586504231
651	1.58605654
652	1.585919218
653	1.58549002
654	1.584725059
655	1.584192262
656	1.583838928
657	1.583689009
658	1.583457007
659	1.583129671
660	1.58276041
661	1.582382604
662	1.581961694
663	1.581637127
664	1.581305279
665	1.580818241
666	1.580587188
667	1.580120654
668	1.579672807
669	1.57934722
670	1.578707865
671	1.578413023
672	1.578042137
673	1.577394809
674	1.57720379
675	1.576830582
676	1.576102371
677	1.57535381
678	1.574697469
679	1.574561261
680	1.574128207
681	1.573704097
682	1.573132326
683	1.572694854
684	1.572069375
685	1.571441329
686	1.57088275
687	1.570444077
