iter	Passed	Remaining
0	691	68420
1	1168	57273
2	1654	53484
3	2178	52274
4	2705	51406
5	3315	51949
6	3848	51125
7	4349	50018
8	4843	48968
9	5311	47804
10	5754	46557
11	6251	45844
12	6764	45272
13	7281	44727
14	7789	44139
15	8273	43436
16	8795	42942
17	9304	42389
18	9791	41743
19	10447	41788
20	10962	41240
21	11449	40593
22	12006	40194
23	12460	39457
24	12906	38719
25	13420	38198
26	13886	37545
27	14319	36821
28	14771	36165
29	15317	35741
30	15955	35513
31	16471	35001
32	17549	35629
33	18051	35040
34	18609	34560
35	19120	33992
36	19685	33519
37	20215	32982
38	20684	32353
39	21104	31657
40	21540	30996
41	21981	30355
42	22453	29764
43	22880	29121
44	23502	28725
45	24201	28410
46	24960	28147
47	25500	27625
48	25968	27028
49	26465	26465
50	26978	25920
51	27595	25472
52	28190	24998
53	28632	24390
54	29242	23925
55	29699	23335
56	30201	22783
57	30573	22139
58	31091	21605
59	31639	21093
60	32809	20976
61	33587	20586
62	34103	20029
63	34619	19473
64	35254	18983
65	35720	18401
66	36180	17820
67	36696	17268
68	37184	16706
69	37596	16112
70	38086	15556
71	38640	15026
72	39227	14508
73	39739	13962
74	40298	13432
75	40715	12857
76	41267	12326
77	41903	11818
78	42439	11281
79	42919	10729
80	43506	10205
81	43966	9651
82	44421	9098
83	44910	8554
84	45526	8034
85	46007	7489
86	46674	6974
87	47254	6443
88	47752	5901
89	48214	5357
90	48710	4817
91	49240	4281
92	49620	3734
93	50409	3217
94	51092	2689
95	51552	2148
96	52065	1610
97	52648	1074
98	53184	537
99	53689	0
